Simulation	mem	times	h	pneut	s
fwdpy11	35560	0.33005	0.0	0.99	0.05
fwdpy11	37848	0.32001666666666667	0.0	0.99	0.05
fwdpy11	35128	0.32717777777777773	0.0	0.99	0.05
fwdpy11	34896	0.3302527777777778	0.0	0.99	0.05
fwdpy11	35588	0.3262	0.0	0.99	0.05
fwdpy11	36612	0.31680555555555556	0.0	0.99	0.05
fwdpy11	39880	0.32555	0.0	0.99	0.05
fwdpy11	34528	0.32659444444444446	0.0	0.99	0.05
fwdpy11	36136	0.3296694444444444	0.0	0.99	0.05
fwdpy11	36532	0.33115000000000006	0.0	0.99	0.05
fwdpy11	39608	0.32819166666666666	0.0	0.99	0.05
fwdpy11	37336	0.32554444444444447	0.0	0.99	0.05
fwdpy11	35880	0.3260194444444445	0.0	0.99	0.05
fwdpy11	37128	0.3237527777777778	0.0	0.99	0.05
fwdpy11	34840	0.32805833333333334	0.0	0.99	0.05
fwdpy11	35680	0.32741111111111115	0.0	0.99	0.05
fwdpy11	34952	0.3257833333333333	0.0	0.99	0.05
fwdpy11	35996	0.32811944444444446	0.0	0.99	0.05
slim	24528	0.9417694444444444	0.0	0.99	0.05
slim	25412	0.9664555555555555	0.0	0.99	0.05
slim	24648	1.001511111111111	0.0	0.99	0.05
slim	26056	0.9407333333333333	0.0	0.99	0.05
slim	25628	0.9509277777777778	0.0	0.99	0.05
slim	25568	0.9759416666666666	0.0	0.99	0.05
slim	27580	0.9976194444444444	0.0	0.99	0.05
slim	26088	0.9752972222222223	0.0	0.99	0.05
slim	26124	0.9483833333333332	0.0	0.99	0.05
slim	26452	0.9683333333333334	0.0	0.99	0.05
slim	25828	0.9547416666666667	0.0	0.99	0.05
slim	25828	0.9780777777777777	0.0	0.99	0.05
slim	27516	0.984388888888889	0.0	0.99	0.05
slim	23768	0.9407027777777779	0.0	0.99	0.05
slim	25904	1.0029000000000001	0.0	0.99	0.05
slim	24160	0.9504805555555556	0.0	0.99	0.05
slim	24408	0.9870666666666666	0.0	0.99	0.05
slim	25772	0.9861694444444444	0.0	0.99	0.05
slim	24972	0.9740194444444444	0.0	0.99	0.05
slim	25436	0.9638	0.0	0.99	0.05
slim	24200	0.9875277777777778	0.0	0.99	0.05
slim	24688	0.9621722222222223	0.0	0.99	0.05
slim	26812	0.9950333333333333	0.0	0.99	0.05
slim	25864	0.9718305555555556	0.0	0.99	0.05
slim	24220	0.93795	0.0	0.99	0.05
slim	24468	0.9766861111111111	0.0	0.99	0.05
slim	26280	0.9657638888888889	0.0	0.99	0.05
slim	25768	0.9547305555555556	0.0	0.99	0.05
slim	26956	0.9661083333333332	0.0	0.99	0.05
slim	24812	0.9882861111111111	0.0	0.99	0.05
slim	25084	0.9981388888888889	0.0	0.99	0.05
slim	26536	0.9991666666666666	0.0	0.99	0.05
slim	25904	1.0179277777777778	0.0	0.99	0.05
slim	27748	0.9798583333333333	0.0	0.99	0.05
slim	24320	0.9447666666666666	0.0	0.99	0.05
slim	24988	0.9488749999999999	0.0	0.99	0.05
slim	24612	0.9797305555555557	0.0	0.99	0.05
slim	25492	0.9556666666666667	0.0	0.99	0.05
slim	25020	0.9249361111111111	0.0	0.99	0.05
slim	26256	0.944425	0.0	0.99	0.05
fwdpy11	38048	0.36831111111111114	0.5	0.99	0.05
fwdpy11	31760	0.3719805555555556	0.5	0.99	0.05
fwdpy11	31600	0.36289722222222226	0.5	0.99	0.05
fwdpy11	32208	0.35481666666666667	0.5	0.99	0.05
fwdpy11	31996	0.3702083333333333	0.5	0.99	0.05
fwdpy11	31544	0.37075555555555556	0.5	0.99	0.05
fwdpy11	31992	0.3701111111111111	0.5	0.99	0.05
